Compound,ConvertedDate,Negative,Neutral,Positive,RawDate,Text,TimeDiff,Tweets Ago,User
-0.0258,2018-10-03 21:24:03+00:00,0.211,0.655,0.135,Wed Oct 03 21:24:03 +0000 2018,RT @carolecadwalla: Perfect. I look forward to her getting no hard questions on her role in colluding with - and covering up - Russian inte…,0,81,@BBC
0.0772,2018-10-03 21:23:56+00:00,0.0,0.936,0.064,Wed Oct 03 21:23:56 +0000 2018,RT @carolecadwalla: Number of @bbc reports on Kremlin's attempts to influence @arron_banks &amp; @nigel_farage's LeaveEU campaign? 0. If any pa…,0,82,@BBC
0.0772,2018-10-03 21:23:53+00:00,0.0,0.936,0.064,Wed Oct 03 21:23:53 +0000 2018,RT @carolecadwalla: Number of @bbc reports on Kremlin's attempts to influence @arron_banks &amp; @nigel_farage's LeaveEU campaign? 0. If any pa…,0,83,@BBC
-0.0258,2018-10-03 21:23:51+00:00,0.211,0.655,0.135,Wed Oct 03 21:23:51 +0000 2018,RT @carolecadwalla: Perfect. I look forward to her getting no hard questions on her role in colluding with - and covering up - Russian inte…,0,84,@BBC
-0.5267,2018-10-03 21:23:51+00:00,0.206,0.794,0.0,Wed Oct 03 21:23:51 +0000 2018,"RT @carolecadwalla: When @BBCPanorama dropped its report into both Cambridge Analytica &amp; Vote Leave overspending scandals, I didn't think i…",0,85,@BBC
0.0772,2018-10-03 21:23:48+00:00,0.0,0.936,0.064,Wed Oct 03 21:23:48 +0000 2018,RT @carolecadwalla: Number of @bbc reports on Kremlin's attempts to influence @arron_banks &amp; @nigel_farage's LeaveEU campaign? 0. If any pa…,0,86,@BBC
0.7003,2018-10-03 21:23:44+00:00,0.0,0.721,0.279,Wed Oct 03 21:23:44 +0000 2018,@carolecadwalla @BBCPanorama @BBC Agree. Shropshire &amp; Telford Trust gets hauled over the coals over neonatal scanda… https://t.co/LU7fMqbryU,0,87,@BBC
-0.0258,2018-10-03 21:23:43+00:00,0.211,0.655,0.135,Wed Oct 03 21:23:43 +0000 2018,RT @carolecadwalla: Perfect. I look forward to her getting no hard questions on her role in colluding with - and covering up - Russian inte…,0,88,@BBC
-0.0258,2018-10-03 21:23:41+00:00,0.211,0.655,0.135,Wed Oct 03 21:23:41 +0000 2018,RT @carolecadwalla: Perfect. I look forward to her getting no hard questions on her role in colluding with - and covering up - Russian inte…,0,89,@BBC
-0.0258,2018-10-03 21:23:39+00:00,0.211,0.655,0.135,Wed Oct 03 21:23:39 +0000 2018,RT @carolecadwalla: Perfect. I look forward to her getting no hard questions on her role in colluding with - and covering up - Russian inte…,0,90,@BBC
-0.5267,2018-10-03 21:23:32+00:00,0.206,0.794,0.0,Wed Oct 03 21:23:32 +0000 2018,"RT @carolecadwalla: When @BBCPanorama dropped its report into both Cambridge Analytica &amp; Vote Leave overspending scandals, I didn't think i…",0,91,@BBC
-0.0258,2018-10-03 21:23:32+00:00,0.211,0.655,0.135,Wed Oct 03 21:23:32 +0000 2018,RT @carolecadwalla: Perfect. I look forward to her getting no hard questions on her role in colluding with - and covering up - Russian inte…,0,92,@BBC
0.34,2018-10-03 21:23:25+00:00,0.0,0.806,0.194,Wed Oct 03 21:23:25 +0000 2018,RT @ThisisDavina: Soooooo excited to be presenting this for @BBC https://t.co/L9FSks0rM2,0,93,@BBC
-0.0258,2018-10-03 21:23:21+00:00,0.211,0.655,0.135,Wed Oct 03 21:23:21 +0000 2018,RT @carolecadwalla: Perfect. I look forward to her getting no hard questions on her role in colluding with - and covering up - Russian inte…,0,94,@BBC
-0.5267,2018-10-03 21:23:21+00:00,0.206,0.794,0.0,Wed Oct 03 21:23:21 +0000 2018,"RT @carolecadwalla: When @BBCPanorama dropped its report into both Cambridge Analytica &amp; Vote Leave overspending scandals, I didn't think i…",0,95,@BBC
0.0772,2018-10-03 21:23:14+00:00,0.0,0.936,0.064,Wed Oct 03 21:23:14 +0000 2018,RT @carolecadwalla: Number of @bbc reports on Kremlin's attempts to influence @arron_banks &amp; @nigel_farage's LeaveEU campaign? 0. If any pa…,0,96,@BBC
-0.5267,2018-10-03 21:23:14+00:00,0.206,0.794,0.0,Wed Oct 03 21:23:14 +0000 2018,"RT @carolecadwalla: When @BBCPanorama dropped its report into both Cambridge Analytica &amp; Vote Leave overspending scandals, I didn't think i…",0,97,@BBC
0.9077,2018-10-03 21:23:12+00:00,0.0,0.564,0.436,Wed Oct 03 21:23:12 +0000 2018,"@carolecadwalla @BBC Wow! :-)

Go, Guardian Girl, Go! :-)

PS Didn't mean to objectify you there, most respected CC… https://t.co/o7buxVpKl7",0,98,@BBC
-0.5267,2018-10-03 21:23:07+00:00,0.206,0.794,0.0,Wed Oct 03 21:23:07 +0000 2018,"RT @carolecadwalla: When @BBCPanorama dropped its report into both Cambridge Analytica &amp; Vote Leave overspending scandals, I didn't think i…",0,99,@BBC
-0.5106,2018-10-03 21:27:07+00:00,0.248,0.752,0.0,Wed Oct 03 21:27:07 +0000 2018,@CBSNews Ford is a liar as her ex-boyfriend has told the people.,0,0,@CBSNews
0.0,2018-10-03 21:27:02+00:00,0.0,1.0,0.0,Wed Oct 03 21:27:02 +0000 2018,1 in 3 Americans eat fast food daily – but one myth is debunked via @CBSNews #diet #obesity #USA… https://t.co/NiWkX6Wnks,0,1,@CBSNews
0.0,2018-10-03 21:26:49+00:00,0.0,1.0,0.0,Wed Oct 03 21:26:49 +0000 2018,@CBSNews Now everyone is locked in for direct access from the high penis-potato of the land. Prepare for late night… https://t.co/9eFbcLeMBu,0,2,@CBSNews
0.6199,2018-10-03 21:26:46+00:00,0.0,0.798,0.202,Wed Oct 03 21:26:46 +0000 2018,@CBSNews Trusted News????? You spent more than three minutes discussing the allegations of sexual misconduct agains… https://t.co/ZPeuydoi8L,0,3,@CBSNews
0.5093,2018-10-03 21:26:44+00:00,0.092,0.696,0.212,Wed Oct 03 21:26:44 +0000 2018,"RT @hannahkauthor: Justice will be served someday.
God knows.
T will be locked up!
Kavanaugh was in debt until 2017.
Hurricane Maria's deat…",0,4,@CBSNews
0.4939,2018-10-03 21:26:41+00:00,0.0,0.814,0.186,Wed Oct 03 21:26:41 +0000 2018,RT @CBSNews: Nothing to see here. Meerly a video of baby meerkats being adorable. https://t.co/l6TjOA4QdN https://t.co/eMFfYhxcPP,0,5,@CBSNews
0.0,2018-10-03 21:26:41+00:00,0.0,1.0,0.0,Wed Oct 03 21:26:41 +0000 2018,"RT @03_jensen: Here's a story @CNN @FoxNews @ABC @MSNBC @CBSNews @60Minutes Opioid prescriptions have ⬇️Year after year, but deaths attribu…",0,6,@CBSNews
0.4939,2018-10-03 21:26:40+00:00,0.0,0.814,0.186,Wed Oct 03 21:26:40 +0000 2018,RT @CBSNews: Nothing to see here. Meerly a video of baby meerkats being adorable. https://t.co/l6TjOA4QdN https://t.co/eMFfYhxcPP,0,7,@CBSNews
0.6113,2018-10-03 21:26:39+00:00,0.099,0.611,0.29,Wed Oct 03 21:26:39 +0000 2018,"@CBSNews Lol. I don't have a home phone. So yes, if there is a national emergency, I want to know about it immediat… https://t.co/SqkD0C7nsm",0,8,@CBSNews
0.1531,2018-10-03 21:26:39+00:00,0.107,0.714,0.179,Wed Oct 03 21:26:39 +0000 2018,Full headlines matter @CBSNews  .. I hope this was a unintentional mistake and not some twisted bait and click... Y… https://t.co/9i9tCX30tq,0,9,@CBSNews
